import time: self [us] | cumulative | imported package
import time:       104 |        104 |   _io
import time:        19 |         19 |   marshal
import time:       131 |        131 |   posix
import time:       368 |        620 | _frozen_importlib_external
import time:       438 |        438 |   time
import time:       121 |        559 | zipimport
import time:        44 |         44 |     _codecs
import time:       350 |        394 |   codecs
import time:       316 |        316 |   encodings.aliases
import time:       458 |       1167 | encodings
import time:       117 |        117 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        15 |         15 |     _abc
import time:        86 |        100 |   abc
import time:        89 |        188 | io
import time:        28 |         28 |       _stat
import time:        49 |         76 |     stat
import time:       446 |        446 |     _collections_abc
import time:        33 |         33 |       genericpath
import time:        74 |        107 |     posixpath
import time:       279 |        907 |   os
import time:        47 |         47 |   _sitebuiltins
import time:       129 |        129 |   encodings.utf_8_sig
import time:       555 |        555 |   _virtualenv
import time:       150 |        150 |   _distutils_hack
import time:        78 |         78 |   sitecustomize
import time:      1144 |       3006 | site
import time:       202 |        202 | linecache
import time:       103 |        103 |   __future__
import time:       174 |        174 |           types
import time:       735 |        908 |         enum
import time:        55 |         55 |           _sre
import time:       167 |        167 |             re._constants
import time:       245 |        412 |           re._parser
import time:        77 |         77 |           re._casefix
import time:       435 |        978 |         re._compiler
import time:        66 |         66 |             itertools
import time:       137 |        137 |             keyword
import time:        39 |         39 |               _operator
import time:       180 |        218 |             operator
import time:       124 |        124 |             reprlib
import time:        28 |         28 |             _collections
import time:       429 |       1000 |           collections
import time:        23 |         23 |           _functools
import time:       331 |       1353 |         functools
import time:       117 |        117 |         copyreg
import time:       308 |       3661 |       re
import time:       233 |        233 |           _weakrefset
import time:       212 |        445 |         weakref
import time:       127 |        572 |       copy
import time:       607 |        607 |           _ast
import time:       299 |        299 |           contextlib
import time:       584 |       1488 |         ast
import time:        21 |         21 |             _opcode
import time:       123 |        123 |             _opcode_metadata
import time:       168 |        311 |           opcode
import time:       440 |        751 |         dis
import time:       116 |        116 |         collections.abc
import time:       101 |        101 |           importlib
import time:        33 |        134 |         importlib.machinery
import time:       107 |        107 |           token
